Inside中文
VR-绝命患者暗之病房中文5.05
绝体绝命都市4Plus中文修复版+505补丁
街霸5中文普通版
街霸5街机版
寂静岭PT射击试玩版
狙击精英V2重制版5.05
街霸4英文
鬼泣合集重置1-3中文中文
观察者 observer（中文（中文无法进游戏等更新）
光明之子中文
鬼刃HD港版 中文
高达VS高达中文
归于沉寂5.05
格斗哈拉 Brawlhalla
功夫熊猫：传奇对决 + ALL DLC
鬼武者重制版中文加5..05
孤岛惊魂3中文5.05已测试
孤岛惊魂：新曙光中文加5.05降级补丁
鬼哭帮日文5.05
鬼影实录失落的灵魂5.05
GTA侠盗猎车系列
光明格斗刀锋对决反抗5.05
GRIP战斗赛车中文
孤岛惊魂：原始杀戮（极地战嚎：野蛮纪源）欧版中文1.03
孤岛惊魂5（中文）5.05
光明之响 龙奏回音 中文版
古惑狼三部曲重置英文版
高达G世界 创世中文
热血无赖中文
热血街头大乱斗进行曲 港中
REUS罗伊斯 中文
忍者战士战士归来中文5.05
如龙5中文加5.05已测试
如龙3港中5.05已测试
如龙4中文加5.05已测试
如龙0：起誓之地（中文）
瑞奇与叮当v1.07_国行中文
如龙极2_中文5.05_
人中北斗中文5.05
RIVE
仁王年度版中文
如龙极1（中文）
Redout.PS4-BlaZe
仁王
进击的巨人中文
见证者中文
镜之边缘2 催化剂5.05中文
吉娜姐妹 导演版直到梦境 中文
JOJO奇妙冒险
街头霸王30周年纪念版中文5.05
绝地潜兵（中文）
J明星胜利对决中文
街头霸王5街机版中文
机械风暴 中文
假面骑士 中文
极品飞车20中文5.05
监狱建造师 中文
僵尸部队三部曲 英文版
饥荒中文 系统需改简中
进击的巨人2 繁體中文
绝境重启 归来 Hard Reset Redux
践踏机械城乱斗日文6.72
寂静岭PT5.05已测试
巨影都市日文5.05
晶体管Transistor 5.5
巨人约顿：瓦尔哈拉版_Jotun_Valhalla_Edition__v1.02
基佬大乱斗
进击的巨人2 繁体中文
加速世界 VS 刀劍神域 千年的黃昏
剑风传奇无双中文
教团1886中文
限界凸城：装甲城堡18+
狙击手：幽灵战士3带1.09中文
最后的守护者国行中文
在远方 追云者编年史 中文
